X,Y,min,,max,diff in meV_max
394,,-1688.3602,,-1688.351553,133.11
395,,-1688.3602,,-1688.351553,138.31
396,,-1688.3602,,-1688.351553,143.42
397,,-1688.3602,,-1688.351553,148.45
398,,-1688.3602,,-1688.351553,153.38
399,,-1688.3602,,-1688.351553,158.2
400,,-1688.3602,,-1688.351553,162.91
401,,-1688.3602,,-1688.351553,167.5
402,,-1688.3602,,-1688.351553,171.97
403,,-1688.3602,,-1688.351553,176.31
404,,-1688.3602,,-1688.351553,180.53
405,,-1688.3602,,-1688.351553,184.6
406,,-1688.3602,,-1688.351553,188.54
407,,-1688.3602,,-1688.351553,192.33
408,,-1688.3602,,-1688.351553,195.96
409,,-1688.3602,,-1688.351553,199.44
410,,-1688.3602,,-1688.351553,202.75
411,,-1688.3602,,-1688.351553,205.9
412,,-1688.3602,,-1688.351553,208.89
413,,-1688.3602,,-1688.351553,211.71
414,,-1688.3602,,-1688.351553,214.37
415,,-1688.3602,,-1688.351553,216.86
416,,-1688.3602,,-1688.351553,219.18
417,,-1688.3602,,-1688.351553,221.32
418,,-1688.3602,,-1688.351553,223.29
419,,-1688.3602,,-1688.351553,225.07
420,,-1688.3602,,-1688.351553,226.68
421,,-1688.3602,,-1688.351553,228.1
422,,-1688.3602,,-1688.351553,229.34
423,,-1688.3602,,-1688.351553,230.41
424,,-1688.3602,,-1688.351553,231.3
425,,-1688.3602,,-1688.351553,232.02
426,,-1688.3602,,-1688.351553,232.58
427,,-1688.3602,,-1688.351553,232.98
428,,-1688.3602,,-1688.351553,233.22
429,,-1688.3602,,-1688.351553,233.32
430,,-1688.3602,,-1688.351553,233.27
431,,-1688.3602,,-1688.351553,233.09
432,,-1688.3602,,-1688.351553,232.77
433,,-1688.3602,,-1688.351553,232.32
434,,-1688.3602,,-1688.351553,231.75
435,,-1688.3602,,-1688.351553,231.07
436,,-1688.3602,,-1688.351553,230.28
437,,-1688.3602,,-1688.351553,229.41
438,,-1688.3602,,-1688.351553,228.48
439,,-1688.3602,,-1688.351553,227.51
440,,-1688.3602,,-1688.351553,226.5
441,,-1688.3602,,-1688.351553,225.47
442,,-1688.3602,,-1688.351553,224.41
443,,-1688.3602,,-1688.351553,223.36
444,,-1688.3602,,-1688.351553,222.31
445,,-1688.3602,,-1688.351553,221.3
446,,-1688.3602,,-1688.351553,220.33
447,,-1688.3602,,-1688.351553,219.43
448,,-1688.3602,,-1688.351553,218.63
449,,-1688.3602,,-1688.351553,217.95
450,,-1688.3602,,-1688.351553,217.42
451,,-1688.3602,,-1688.351553,217.07
452,,-1688.3602,,-1688.351553,216.9
453,,-1688.3602,,-1688.351553,216.92
454,,-1688.3602,,-1688.351553,217.09
455,,-1688.3602,,-1688.351553,217.41
456,,-1688.3602,,-1688.351553,217.85
457,,-1688.3602,,-1688.351553,218.39
458,,-1688.3602,,-1688.351553,219.02
459,,-1688.3602,,-1688.351553,219.71
460,,-1688.3602,,-1688.351553,220.44
461,,-1688.3602,,-1688.351553,221.22
462,,-1688.3602,,-1688.351553,222.02
463,,-1688.3602,,-1688.351553,222.82
464,,-1688.3602,,-1688.351553,223.62
465,,-1688.3602,,-1688.351553,224.38
466,,-1688.3602,,-1688.351553,225.1
467,,-1688.3602,,-1688.351553,225.76
468,,-1688.3602,,-1688.351553,226.34
469,,-1688.3602,,-1688.351553,226.84
470,,-1688.3602,,-1688.351553,227.24
471,,-1688.3602,,-1688.351553,227.52
472,,-1688.3602,,-1688.351553,227.68
473,,-1688.3602,,-1688.351553,227.71
474,,-1688.3602,,-1688.351553,227.6
475,,-1688.3602,,-1688.351553,227.35
476,,-1688.3602,,-1688.351553,226.94
477,,-1688.3602,,-1688.351553,226.37
478,,-1688.3602,,-1688.351553,225.65
479,,-1688.3602,,-1688.351553,224.76
480,,-1688.3602,,-1688.351553,223.72
481,,-1688.3602,,-1688.351553,222.51
482,,-1688.3602,,-1688.351553,221.15
483,,-1688.3602,,-1688.351553,219.62
484,,-1688.3602,,-1688.351553,217.93
485,,-1688.3602,,-1688.351553,216.06
486,,-1688.3602,,-1688.351553,214.02
487,,-1688.3602,,-1688.351553,211.8
488,,-1688.3602,,-1688.351553,209.4
489,,-1688.3602,,-1688.351553,206.83
490,,-1688.3602,,-1688.351553,204.08
491,,-1688.3602,,-1688.351553,201.16
492,,-1688.3602,,-1688.351553,198.08
493,,-1688.3602,,-1688.351553,194.84
494,,-1688.3602,,-1688.351553,191.45
495,,-1688.3602,,-1688.351553,187.91
496,,-1688.3602,,-1688.351553,184.22
497,,-1688.3602,,-1688.351553,180.39
498,,-1688.3602,,-1688.351553,176.42
499,,-1688.3602,,-1688.351553,172.31
500,,-1688.3602,,-1688.351553,168.07
501,,-1688.3602,,-1688.351553,163.69
502,,-1688.3602,,-1688.351553,159.2
503,,-1688.3602,,-1688.351553,154.59
504,,-1688.3602,,-1688.351553,149.88
505,,-1688.3602,,-1688.351553,145.07
506,,-1688.3602,,-1688.351553,140.18
507,,-1688.3602,,-1688.351553,135.2
508,,-1688.3602,,-1688.351553,130.15
509,,-1688.3602,,-1688.351553,125.02
510,,-1688.3602,,-1688.351553,119.82
511,,-1688.3602,,-1688.351553,114.57
512,,-1688.3602,,-1688.351553,109.27
513,,-1688.3602,,-1688.351553,103.95
514,,-1688.3602,,-1688.351553,98.62
515,,-1688.3602,,-1688.351553,93.29
516,,-1688.3602,,-1688.351553,87.97
517,,-1688.3602,,-1688.351553,82.66
518,,-1688.3602,,-1688.351553,77.37
519,,-1688.3602,,-1688.351553,72.11
520,,-1688.3602,,-1688.351553,66.89
521,,-1688.3602,,-1688.351553,61.74
522,,-1688.3602,,-1688.351553,56.69
523,,-1688.3602,,-1688.351553,51.76
524,,-1688.3602,,-1688.351553,46.97
525,,-1688.3602,,-1688.351553,42.32
526,,-1688.3602,,-1688.351553,37.82
527,,-1688.3602,,-1688.351553,33.46
528,,-1688.3602,,-1688.351553,29.26
529,,-1688.3602,,-1688.351553,25.24
530,,-1688.3602,,-1688.351553,21.44
531,,-1688.3602,,-1688.351553,17.88
532,,-1688.3602,,-1688.351553,14.6
533,,-1688.3602,,-1688.351553,11.62
